,Column0,target_name,RA,DEC,MatchID,MatchRa,MatchDEC,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag
4786,5953,260473060,96.0951,-55.1637,260473060,96.0950233029283,-55.163734948173,0.201756161174822,20190415,,,175-008042,06242281-5509493,,J062422.75-550947.9,5.496592943766311e+18,27296134.0,,STAR,tmgaia2,tmgaia2,-42.4509,0.0413764,141.295,0.041388999999999995,gaia2,13.6986,0.0208587,gaia2,263.904190062807,-25.7311078906179,107.30744820397899,-78.23640273946658,15.542,0.040999999999999995,14.026,0.040999999999999995,,,,,,,,,,,10.742,0.023,10.107000000000001,0.022000000000000002,9.897,0.019,AAA-222-111-000-0-0,,9.775,0.022000000000000002,9.72,0.02,9.587,0.03,8.959,0.26899999999999996,13.1673,0.000479,12.0901,0.00734914,cdwrf,cdwrf,3637.0,157.0,4.729,0.0083579,,,0.509616,0.0150652,0.507478,0.0202357,3.8343199999999995,0.187344,DWARF,0.04094058,0.009536196,72.8464,0.11155,,,105,0.009043575,,,0.00596436,,,,,,,,,,,,,,0.1114,0.1117,bj2018,,,cdwrf,14.2904,0.0023899999999999998,12.1218,0.001458,1,,cdwrf,apassdr9,cooldwarfs_v8,0.723817769883537,0.641922895019917,96.0947033377874,-55.1631265951147,0.0191067145785543,0.0224700640965137,1,0
4787,2192,262609170,116.2133,-62.7079,262609170,116.21341941199199,-62.7078879002105,0.20186871691824498,20190415,,,137-011290,07445119-6242283,,J074451.02-624228.4,5.288964397794397e+18,29940669.0,,STAR,tmgaia2,tmgaia2,-126.33,0.0541155,-4.8053,0.0625253,gaia2,12.5778,0.028706,gaia2,274.936395491582,-18.1177244058871,173.26230134252899,-78.2321103580534,17.299,-0.28800000000000003,15.54,0.2,,,,,,,,,,,11.731,0.024,11.138,0.022000000000000002,10.888,0.021,AAA-222-111-000-0-0,,10.759,0.023,10.639000000000001,0.02,10.448,0.05,9.273,0.382,14.4898,0.000371,13.280999999999999,0.00727298,cdwrf,cdwrf,3416.0,157.0,4.83769,0.00264172,,,0.388061,0.011599600000000002,0.37794099999999997,0.0202825,6.46732,0.23273899999999997,DWARF,0.01847422,0.004524965,79.3229,0.182,,,206,0.01174197,,,0.004283542,,,,,,,,,,,,,,0.1816,0.1824,bj2018,,,cdwrf,15.8707,0.002156,13.3402,0.00091,1,,cdwrf,apassdr9,cooldwarfs_v8,0.982541220262336,0.96964236058268,116.21223317741101,-62.707908594700605,0.0249088394268138,0.0311416205379401,1,0
4793,9956,272357310,119.29347299999999,-73.71024200000001,272357310,119.29346356722701,-73.71029809518859,0.20216718788663898,20190415,,,082-010863,07571043-7342368,,J075710.11-734236.5,5.214842779911586e+18,33663421.0,,STAR,tmgaia2,tmgaia2,-127.461,0.0413042,46.3358,0.0472782,gaia2,12.2933,0.0244911,gaia2,286.12049187892995,-21.534038375384196,228.90831071981498,-77.94760529176371,16.551,0.096,15.047,0.092,,,,,,,,,,,11.554,0.024,10.937000000000001,0.022000000000000002,10.757,0.023,AAA-222-111-000-0-0,,10.589,0.022000000000000002,10.482000000000001,0.02,10.388,0.04,9.283999999999999,,14.0526,0.000341,12.9377,0.00731842,cdwrf,cdwrf,3575.0,157.0,4.81442,0.00432513,,,0.41339499999999996,0.0124092,0.406517,0.0203473,5.754169999999999,0.230169,DWARF,0.0251495,0.00595772,81.1546,0.1625,,,163,0.06924742,,,0.004812604,,,,,,,,,,,,,,0.1622,0.1628,bj2018,,,cdwrf,15.2347,0.002163,12.9759,0.001267,1,,ucac4,apassdr9,cooldwarfs_v8,0.8004204042379319,0.7332833373233271,119.291507054634,-73.7100986028196,0.0221659220806295,0.0262845751273581,1,0
4797,550,41259424,92.26407900000001,-71.506313,41259424,92.26405496364,-71.50625720488709,0.202729080429645,20190415,,9172-01197-1,093-010509,06090337-7130227,,J060903.37-713022.3,5.278326863318949e+18,33611010.0,,STAR,tmgaia2,tmgaia2,-7.07459,0.049396800000000005,12.4744,0.0578481,gaia2,2.12311,0.0273207,gaia2,282.053600740114,-28.9695208761752,261.75098262042803,-84.9894254105544,10.525,0.042,9.396,0.004,,,,,,,,,,,7.452000000000001,0.026000000000000002,6.879,0.024,6.772,0.024,AAA-111-111-000-0-0,,6.707000000000001,0.067,6.7829999999999995,0.021,6.707999999999999,0.015,6.671,0.051,9.06606,0.00035099999999999997,8.4168,0.006,rered,gaia2,4818.0,122.0,,,,,10.3233,,,,,,GIANT,,,464.749,5.9465,0.0659765,0.00028574,0,,,,,0.00028559900000000004,0.000285881,schlegel,,,,,,,,,,,5.872000000000001,6.021,bj2018,,,dered,9.66215,0.0017230000000000001,8.38297,0.0036609999999999998,1,,tycho2v3,tycho2b3,,0.9437757665121109,0.897224926433223,92.2639589360992,-71.50620349568871,0.0247566497064256,0.0322385836894178,0,0
4799,8615,149497924,85.7591,-60.1062,149497924,85.75913771920109,-60.106146755744604,0.203275857338865,20190415,,,,05430220-6006221,,J054302.01-600622.9,4.759025081971991e+18,,,STAR,tmgaia2,tmgaia2,-123.818,0.144893,-75.9323,0.158956,gaia2,20.0463,0.06414,gaia2,268.876021295246,-31.7183351195158,71.6572073395691,-83.2744347523857,19.169,0.162,17.68,0.2,,,,,,,,,,,12.845999999999998,0.023,12.295,0.026000000000000002,12.017000000000001,0.026000000000000002,AAA-222-111-000-0-0,,11.837,0.023,11.618,0.02,11.495999999999999,0.098,9.78,,16.1053,0.001068,14.6801,0.00799746,cdwrf,cdwrf,3068.0,157.0,5.12151,0.0353217,,,0.17130599999999999,0.00525438,0.141575,0.020066099999999996,28.1623,1.4146,DWARF,0.002342401,0.0006271357,49.8135,0.16035,,,94,0.04714561,,,0.004563658,,,,,,,,,,,,,,0.1599,0.1608,bj2018,,,cdwrf,18.0431,0.012645,14.7945,0.003583,1,,cdwrf,bpbj,cooldwarfs_v8,2.5953005444857404,2.46468610186785,85.7580680745109,-60.1064736907975,0.0572849986326171,0.0654098128461091,1,0
4804,25244,299833015,59.7911,-71.9203,299833015,59.7910832198979,-71.9203564354697,0.204030791205758,20190415,,,091-006352,03590986-7155131,,,4.665756396805217e+18,33558025.0,,STAR,tmgaia2,tmgaia2,297.157,0.057805600000000006,73.4628,0.061886000000000004,gaia2,19.0585,0.0315436,gaia2,286.100164058689,-38.468003315047,319.77456765675703,-78.198962348505,16.521,0.036000000000000004,15.025,0.026000000000000002,,,,,,,,,,,11.001,0.023,10.469000000000001,0.024,10.225,0.023,AAA-222-111-000-0-0,,,,,,,,,,13.825999999999999,0.000346,12.5677,0.00733106,cdwrf,cdwrf,3345.0,157.0,4.86773,0.00037439699999999995,,,0.356379,0.0107301,0.34157600000000005,0.0202995,7.546589999999999,0.232787,DWARF,0.01432529,0.003571877,52.3906,0.0872,,,91,0.03136957,,,0.008011151,,,,,,,,,,,,,,0.0871,0.0873,bj2018,,,cdwrf,15.3055,0.002466,12.638,0.0013460000000000002,1,,cdwrf,apassdr9,cooldwarfs_v8,1.1073930731032702,0.9596945092107,59.7952058960761,-71.9200401810578,0.0316824552142877,0.0297590779454995,1,0
4806,5611,140938975,76.892088,-73.993611,140938975,76.891912043647,-73.9935816429695,0.204153115317353,20190415,,9173-00730-1,081-006168,05073410-7359370,,J050734.04-735936.7,4.649727303986782e+18,33583843.0,,STAR,tmgaia2,tmgaia2,1.40904,0.0506973,9.985330000000001,0.058412599999999995,gaia2,1.27909,0.026576299999999997,gaia2,285.72329329663,-33.0767093164013,294.70099889368197,-81.3934100318459,11.114,0.076,10.022,0.006999999999999999,,,,,,,,,,,8.142000000000001,0.02,7.584,0.036000000000000004,7.487,0.031,AAA-111-111-000-0-0,,7.355,0.035,7.479,0.02,7.393,0.017,7.36,0.08900000000000001,9.72265,0.000401,9.0771,0.006,rered,gaia2,4922.0,122.0,,,,,12.2982,,,,,,GIANT,,,764.681,15.6605,0.0939709,0.00020473150000000002,0,,,,,0.000208021,0.000201442,schlegel,,,,,,,,,,,15.345999999999998,15.975,bj2018,,,dered,10.3033,0.001732,9.03701,0.0014349999999999999,1,,tycho2v3,tycho2b3,,0.9842637024618951,0.905849262333524,76.89193404476849,-73.99353865057721,0.0268769720781105,0.0286746718917369,0,0
4813,9099,348839788,98.8427,-57.6264,348839788,98.84278046665979,-57.6264370698936,0.20461439431923603,20190415,,8543-00967-1,162-007849,06352229-5737349,,J063522.25-573734.5,5.484571119849822e+18,27305860.0,,STAR,tmgaia2,tmgaia2,-17.4873,0.05517469999999999,53.223,0.0643697,gaia2,42.7725,0.0262293,gaia2,266.90982052821397,-24.7394389018439,118.841735195046,-80.17567679167651,12.595999999999998,0.22399999999999998,11.009,0.042,,,,,,,,,,,8.025,0.024,7.405,0.044000000000000004,7.153,0.018000000000000002,AAA-111-111-000-0-0,,7.0120000000000005,0.053,7.013,0.02,6.942,0.016,6.871,0.071,10.2855,0.0008990000000000001,9.29995,0.00757309,cdwrf,cdwrf,3797.0,157.0,4.68875,0.00964876,,,0.5560229999999999,0.0163716,0.55064,0.0201929,3.20324,0.165688,DWARF,0.05789521,0.01304452,23.3637,0.0144,,,119,0.01919259,,,0.02963771,,,,,,,,,,,,,,,,bj2018,,,cdwrf,11.2881,0.002363,9.31782,0.002457,1,,cdwrf,tycho2b3,cooldwarfs_v8,0.976297860782988,0.998167492552925,98.8426398478368,-57.626207915386495,0.0221835424001113,0.0295379734963552,1,0
4816,46,142018328,96.8586,-75.1303,142018328,96.8585602315643,-75.1302440185807,0.20485457581117197,20190415,,,,06272608-7507491,,J062725.84-750746.4,5.261582538171707e+18,,,STAR,tmgaia2,tmgaia2,-76.2654,0.164352,231.40200000000002,0.195916,gaia2,18.7341,0.10030700000000001,gaia2,286.181164751714,-27.6837352517828,258.504906204019,-81.15402164621159,,,19.4,0.2,,,,,,,,,,,13.507,0.021,12.882,0.028999999999999998,12.557,0.027999999999999997,AAA-222-111-000-0-0,,12.359000000000002,0.024,12.148,0.022000000000000002,11.829,0.13,8.954,,17.2984,0.001042,15.6713,0.0105442,cdwrf,cdwrf,2828.0,157.0,5.17825,0.0460149,,,0.148198,0.00456617,0.120743,0.0200486,37.0967,2.75497,DWARF,0.001265602,0.00036161230000000003,53.299,0.2871,,,150,0.1280356,,,0.002369307,,,,,,,,,,,,,,0.2856,0.2886,bj2018,,,cdwrf,20.008,0.06252,15.8556,0.006744,1,,cdwrf,,cooldwarfs_v8,3.2149966209222,3.0384323729386096,96.8572806683021,-75.1292477079689,0.08828368524825901,0.10264765811912101,1,0
4817,1740,350709476,88.3034,-56.2657,350709476,88.3034634878534,-56.2656550116416,0.205769047719042,20190415,,,169-006439,05531281-5615563,,,4.76718692858373e+18,27270986.0,,STAR,tmgaia2,tmgaia2,266.681,0.08635930000000001,231.833,0.0798763,gaia2,11.1228,0.0317744,gaia2,264.462382489675,-30.226764386676603,84.7372755107784,-79.67393916005351,15.484000000000002,0.051,14.012,0.008,,,,,,,,,,,10.828,0.023,10.280999999999999,0.023,10.077,0.021,AAA-222-111-000-0-0,,,,,,,,,,13.2161,0.000392,12.1534,0.00744168,cdwrf,cdwrf,3676.0,157.0,4.68926,0.00978298,,,0.555433,0.0164956,0.5501159999999999,0.020283799999999998,3.2104,0.167875,DWARF,0.05075281,0.01174156,89.6728,0.25745,,,72,0.2272134,,,0.004893499,,,,,,,,,,,,,,0.2567,0.2582,bj2018,,,cdwrf,14.2971,0.0029690000000000003,12.1809,0.0019260000000000002,1,,cdwrf,apassdr9,cooldwarfs_v8,1.5182141450645301,1.23848070984174,88.3055310563196,-56.264656859119796,0.0312992494534256,0.0313977772950111,1,0
