,Column0,target_name,RA,DEC,MatchID,MatchRa,MatchDEC,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag
7,1436,25155612,63.21751,-70.249137,25155612,63.21751,-70.249137,0.0,20190415,,,099-003621,04125220-7014567,,J041252.20-701458.2,,33562349.0,,STAR,tmgaia,tmgaia,4.04,2.0,-135.12,2.0,tic7,,,,283.54117599999995,-38.391864,327.34435,-79.58000200000001,13.106,0.043,11.709000000000001,0.046,,,,,,,,,,,9.157,0.025,8.511000000000001,0.023,8.375,0.023,AAA-222-111-000-0-0,,8.263,0.023,8.311,0.02,8.224,0.02,8.255,0.21600000000000003,,,10.236,0.018000000000000002,gaiaj,spec7,4241.0,170.0,,,,,,,,,,,DWARF,,,54.8348,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,0.00016480148841372,0.000114311184354505,63.21760195974829,-70.2497237801587,0.00016480148841372,0.000114311184354505,-1,0
33,3872,388130306,65.4659,-67.6596,388130306,65.4659,-67.6596,0.0,20190415,,,112-003821,04215182-6739343,,,,32425373.0,,STAR,2mass,2mass,581.0,8.0,302.0,8.0,tic7,,,,280.118395,-38.843755,342.203442,-80.45823299999999,14.453,0.027999999999999997,12.927999999999999,0.081,,,,,,,,,,,9.295,0.022000000000000002,8.696,0.053,8.449,0.021,AAA-212-111-000-0-0,,,,,,,,,,,,10.663,0.04,cdwrf,spec7,3536.0,69.0,,,,,,,,,,,DWARF,,,49.72789,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,cdwrf,apassdr9,,60.0,60.0,65.46594300000001,-67.65954599999999,60.0,60.0,-1,0
59,6929,33864198,65.211947,-72.94834,33864198,65.211947,-72.94834,0.0,20190415,,9160-01691-1,086-008062,04205085-7256540,,J042051.14-725654.2,,33564942.0,,STAR,tmgaia,tmgaia,98.98,2.0,2.09,2.0,tic7,,,,286.135738,-36.537084,312.10429700000003,-79.434259,13.311,0.39299999999999996,11.386,0.11199999999999999,,,,,,,,,,,9.591000000000001,0.03,9.025,0.03,8.875,0.025,AAA-222-111-000-0-0,,8.745,0.023,8.81,0.02,8.75,0.023,8.591000000000001,0.267,,,10.581,0.019,gaiaj,spec7,4555.1,69.0,,,,,,,,,,,DWARF,,,100.447,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,tycho2v,tycho2b,,0.000122393249887395,0.00015881049864156202,65.2132290067838,-72.9482639926275,0.000122393249887395,0.00015881049864156202,-1,0
86,11366,220436467,73.738654,-57.66356999999999,220436467,73.738654,-57.66356999999999,0.0,20190415,,,162-004713,04545727-5739488,,J045457.32-573949.7,,27234869.0,,STAR,2mass,2mass,,,,,,,,,266.509281,-38.092991,42.035118,-78.365992,13.659,0.033,12.352,0.08,,,,,,,,,,,9.933,0.024,9.28,0.024,9.145,0.025,AAA-222-111-000-0-0,,8.999,0.022000000000000002,8.996,0.02,8.92,0.022000000000000002,8.821,0.184,,,11.102,0.055,vjk,spec7,4073.0,170.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,60.0,60.0,73.738654,-57.66356999999999,60.0,60.0,-1,0
93,13108,38509907,62.378536,-62.851409,38509907,62.378536,-62.851409,0.0,20190415,,,136-003798,04093083-6251052,,J040931.02-625103.2,,29804694.0,,STAR,2mass,2mass,102.8,2.0,176.18,2.0,tic7,,,,275.080842,-42.019637,4.589212,-77.746713,14.62,0.01,13.31,0.092,,,,,,,,,,,10.761,0.024,10.136000000000001,0.023,9.967,0.023,AAA-222-111-000-0-0,,9.891,0.023,9.873,0.02,9.791,0.034,8.935,,,,11.940999999999999,0.033,vjk,spec7,4082.0,170.0,,,,,,,,,,,DWARF,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,60.0,60.0,62.378496999999996,-62.85146700000001,60.0,60.0,-1,0
106,16439,220428553,72.6648,-59.7189,220428553,72.6648,-59.7189,0.0,20190415,,,152-004771,04503954-5943081,,,,27232737.0,,STAR,2mass,2mass,22.0,8.0,225.0,8.0,tic7,,,,269.20860600000003,-38.277771,33.145825,-79.662645,14.259,0.059000000000000004,12.745,0.016,,,,,,,,,,,9.613,0.024,9.038,0.027000000000000003,8.788,0.025,AAA-222-111-000-0-0,,,,,,,,,,,,10.875,0.04,cdwrf,spec7,3732.0,64.0,,,,,,,,,,,DWARF,,,64.93816,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,cdwrf,apassdr9,,60.0,70.0,72.66478599999999,-59.718918,60.0,70.0,-1,0
134,24763,176932113,100.24942800000001,-69.331345,176932113,100.24942800000001,-69.331345,0.0,20190415,,,104-018763,06405986-6919528,,J064059.77-691953.3,,32018950.0,,STAR,2mass,2mass,,,,,,,,,279.799988,-26.163903,220.42914199999998,-85.267393,13.515999999999998,0.009000000000000001,12.136,0.046,,,,,,,,,,,9.732000000000001,0.022000000000000002,9.107999999999999,0.025,8.966000000000001,0.021,AAA-222-111-000-0-0,,8.88,0.023,8.926,0.02,8.83,0.022000000000000002,8.482000000000001,0.121,,,10.868,0.031,vjk,spec7,4217.4,64.0,,,-0.15,0.08,0.48037700000000005,0.0631488,,,,,,,,,,,,212,0.1919884,,,0.01382097,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,60.0,70.0,100.24942800000001,-69.331345,60.0,70.0,1,0
135,25157,38827449,68.40675300000001,-60.209747,38827449,68.40675300000001,-60.209747,0.0,20190415,,,149-004303,04333762-6012350,,J043337.56-601235.7,,29813749.0,,STAR,2mass,2mass,,,,,,,,,270.478118,-40.231111999999996,23.269607999999998,-78.519796,12.824000000000002,0.019,11.921,0.046,,,,,,,,,,,10.31,0.027000000000000003,9.859,0.023,9.748,0.024,AAA-222-111-000-0-0,,9.699,0.023,9.77,0.02,9.698,0.031,9.703,0.521,,,11.097999999999999,0.038,vjk,spec7,4948.46,,,,0.100408,0.081403,0.8283,,,,,,,,,146.31,,,,67,0.002640235,,,0.005546654,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,70.0,80.0,68.40675300000001,-60.209747,70.0,80.0,1,0
153,33889,278991483,101.972374,-57.225559,278991483,101.972374,-57.225559,0.0,20190415,,,164-008868,06475336-5713320,,J064753.36-571332.0,,27318168.0,,STAR,tmmgaia,tmmgaia,,,,,,,,,266.913469,-23.007645,126.563499,-79.134524,12.457,0.039,11.415,0.046,,,,,,,,,,,9.671,0.03,9.123,0.027999999999999997,8.925,0.024,AAA-222-111-000-0-0,,8.859,0.023,8.902999999999999,0.02,8.836,0.022000000000000002,8.756,0.221,,,10.402000000000001,0.02,gaiaj,spec7,4818.83,110.68,,,0.0651667,0.1,0.656552,0.14639100000000002,,,,,,,,,,,,128,0.9097119,,,0.010313600000000001,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,654.384,654.384,101.972317,-57.225552,654.384,654.384,1,0
165,7855,167695512,103.040405,-63.590346999999994,167695512,103.040404494309,-63.590346946089,0.000832661762645834,20190415,,,133-009473,06520969-6335253,,J065209.76-633524.6,5.286315360747583e+18,29889731.0,,STAR,tmgaia2,tmgaia2,45.153,0.042916199999999995,55.0238,0.039704500000000004,gaia2,7.28008,0.020412,gaia2,273.790057778236,-24.025669577260103,157.634253098146,-83.7697214435514,13.719000000000001,0.016,12.494000000000002,0.046,,,,,,,,,,,10.625,0.023,10.085,0.024,9.96,0.021,AAA-222-111-000-0-0,,9.892000000000001,0.023,9.981,0.02,9.929,0.036000000000000004,8.999,,12.2454,0.000192,11.5658,0.006,rered,spect,4633.0,174.83700000000002,4.56398,0.127447,,,0.74415,0.07777389999999999,0.74,0.09188710000000001,1.79577,0.678405,DWARF,0.2298607,0.01477995,136.81799999999998,0.385,0.02623,0.01049138,144,0.5953053,,,0.004283197,0.0111456,0.00983716,schlegel,0.07630319999999999,0.107471,0.0636744,0.0918734,0.52181,0.835,0.108175,0.14671900000000002,0.011793099999999999,0.0177668,0.384,0.386,bj2018,101.219,248.455,spect,12.870999999999999,0.001801,11.5137,0.000739,1,,ucac4,apassdr9,,0.782880560941021,0.615791134180797,103.04084157801701,-63.5901100387261,0.0191432005103446,0.0213834572885331,1,0
167,6756,167572013,101.45,-65.6681,167572013,101.44999982943399,-65.6680994745808,0.0019083537225784899,20190415,,,122-010460,06454800-6540052,,J064548.02-654003.9,5.285066079318059e+18,32466285.0,,STAR,tmgaia2,tmgaia2,9.66638,0.0400275,111.443,0.0376968,gaia2,8.77695,0.018769799999999996,gaia2,275.872146918087,-25.119043725580603,174.37538212366002,-85.28569394236341,15.788,0.107,14.413,0.015,,,,,,,,,,,11.235999999999999,0.021,10.56,0.024,10.401,0.024,AAA-222-111-000-0-0,,10.261,0.023,10.279000000000002,0.02,10.075,0.043,9.495,0.391,13.6002,0.00035299999999999996,12.5561,0.00724746,cdwrf,cdwrf,3693.0,157.0,4.66071,0.010672399999999999,,,0.588787,0.0175746,0.578843,0.0203329,2.83587,0.154549,DWARF,0.05809361,0.01341125,113.56,0.244,0.0198613,,136,0.02629443,,,0.003726545,,,schlegel,,,,,,,,,,,,,bj2018,,,cdwrf,14.6765,0.001343,12.5818,0.000642,1,,cdwrf,apassdr9,cooldwarfs_v8,0.7386012611928541,0.5846193630052879,101.45010084142599,-65.66761965058251,0.0178411144136356,0.0193091211749559,1,0
174,12250,279161271,103.237442,-57.10110600000001,279161271,103.23744112860201,-57.1011047177223,0.00492062933467917,20190415,,,165-009238,06525698-5706039,,J065256.92-570602.4,5.484101598321841e+18,27322795.0,,STAR,tmgaia2,tmgaia2,-45.6186,0.0408504,139.328,0.048805699999999994,gaia2,14.8005,0.0213632,gaia2,266.97989914428297,-22.3131807346801,129.45703353078198,-78.7135477065533,15.117,0.023,13.614,0.114,,,,,,,,,,,10.509,0.023,9.862,0.022000000000000002,9.679,0.021,AAA-222-111-000-0-0,,9.547,0.022000000000000002,9.517000000000001,0.02,9.389,0.027999999999999997,9.113999999999999,0.28800000000000003,12.8174,0.000484,11.798,0.00735775,cdwrf,cdwrf,3741.0,157.0,4.72175,0.00870051,,,0.517932,0.0153779,0.515496,0.020282400000000003,3.7102800000000005,0.184702,DWARF,0.04733594,0.01080789,67.4336,0.0979,,,137,0.08018208,,,0.006893169,,,,,,,,,,,,,,,,bj2018,,,cdwrf,13.8538,0.0019219999999999999,11.8194,0.0015119999999999999,1,,ucac4,apassdr9,cooldwarfs_v8,0.721095066175938,0.7569571059500391,103.237079514995,-57.1005048337934,0.0193225118957978,0.0266352503749395,1,0
175,12847,167795728,104.267213,-61.96068,167795728,104.26721475116301,-61.960681175682495,0.005166794104575221,20190415,,8912-01437-1,141-008796,06570413-6157384,,J065704.13-615738.1,5.287038053421158e+18,29893645.0,,STAR,tmgaia2,tmgaia2,1.04331,0.0468556,33.3266,0.043761,gaia2,3.0640099999999997,0.0260941,gaia2,272.210627680373,-23.090513096222,149.995397298636,-82.3121494260251,12.363,0.21600000000000003,11.318,0.02,,,,,,,,,,,9.781,0.022000000000000002,9.366,0.027000000000000003,9.203,0.019,AAA-222-111-000-0-0,,9.124,0.023,9.205,0.02,9.139,0.024,9.152000000000001,0.37200000000000005,11.2294,0.000338,10.6219,0.006,rered,spect,4971.57,49.6538,,,0.338179,0.0509546,2.42282,,,,,,GIANT,,,323.344,2.7489999999999997,0.05895319999999999,,0,,,,,,,schlegel,,,,,,,,,,,,,bj2018,,,spect,11.7629,0.001292,10.5756,0.00114,1,,tycho2v3,tycho2b3,,0.8474316342620759,0.678726103058819,104.267224307099,-61.9605376861559,0.0234882551363865,0.0241730770312881,0,0
179,26933,350345319,84.664397,-57.546581999999994,350345319,84.6643946349621,-57.546581242481004,0.00532079508020385,20190415,,,163-006113,05383945-5732476,,J053839.53-573247.8,4.766149573722624e+18,27261139.0,,STAR,tmgaia2,tmgaia2,62.3984,1.2449700000000001,-20.9244,1.24543,hsoy,,,,265.853965082229,-32.2691959625395,72.1058416179962,-80.6537155667758,14.99,0.11699999999999999,13.482999999999999,0.13699999999999998,,,,,,,,,,,10.492,0.024,9.836,0.022000000000000002,9.642999999999999,0.021,AAA-222-111-000-0-0,,9.539,0.023,9.52,0.02,9.414,0.027000000000000003,9.82,0.522,12.7779,0.0006349999999999999,11.7736,0.00756876,cdwrf,cdwrf,3783.0,157.0,4.64531,0.0116333,,,0.606988,0.0186899,0.593753,0.0206633,2.65501,0.153105,DWARF,0.06798299,0.01554556,,,,,69,0.01098378,,,0.00557085,,,,,,,,,,,,,,,,,,,cdwrf,13.7772,0.001698,11.7912,0.002445,0,,ucac4,apassdr9,cooldwarfs_v8,22.016089454688,19.304993740887,84.66489529233759,-57.5466713345903,0.14200952593565302,0.178877020498728,1,0
182,13481,149422364,84.548808,-63.104155000000006,149422364,84.54880601137691,-63.104153718202,0.00563750644221868,20190415,,8883-00936-1,135-006421,05381171-6306149,,J053811.71-630614.9,4.757498547522423e+18,29843475.0,,STAR,tmgaia2,tmgaia2,-0.13781300000000002,0.0510672,2.5640099999999997,0.0559019,gaia2,12.2811,0.0214032,gaia2,272.42595670080004,-32.218264285352696,53.659177391865704,-85.8412946920089,12.068,0.177,10.759,0.023,,,,,,,,,,,9.288,0.026000000000000002,8.815,0.027999999999999997,8.683,0.019,AAA-222-111-000-0-0,,8.612,0.022000000000000002,8.683,0.019,8.607000000000001,0.02,8.367,0.12300000000000001,10.6647,0.000695,10.0713,0.0061,gbprp,gaia2,4875.0,128.44299999999998,4.56655,0.0920816,,,0.7714409999999999,0.0525226,0.8,0.0949975,1.74253,0.470596,DWARF,0.30283000000000004,0.01014816,81.2343,0.1423,,,771,0.0119542,,,0.01167335,,,,0.06878189999999999,0.12121300000000002,0.058597,0.046448199999999995,0.410695,0.530496,0.0989073,0.0852559,0.00921572,0.0110806,0.1421,0.1425,bj2018,101.14200000000001,155.745,dered0,11.1891,0.003013,10.0241,0.002114,1,,tycho2v3,tycho2b3,,0.929072027896565,0.8668706286240161,84.548804699704,-63.104142678714396,0.0198645823462016,0.0260393836081788,1,0
188,15649,279950551,82.2219,-66.5888,279950551,82.22189562244341,-66.5887993668858,0.0066634794397113,20190415,,,118-008024,05285325-6635197,,,4.660316837955968e+18,,,STAR,tmgaia2,tmgaia2,227.99400000000003,0.1144,269.342,0.12356400000000001,gaia2,25.872,0.0545864,gaia2,276.647773246793,-32.8935526452302,355.911116330598,-86.9096759435522,,,17.5,0.2,,,,,,,,,,,12.285,0.024,11.722999999999999,0.022000000000000002,11.398,0.023,AAA-222-111-000-0-0,,,,,,,,,,15.4206,0.000907,14.0092,0.00767741,cdwrf,cdwrf,3112.0,157.0,5.11191,0.033882,,,0.175674,0.00531879,0.14563299999999998,0.020054699999999998,26.8619,1.27215,DWARF,0.002607763,0.0006883884,38.6089,0.08195,,,3825,0.25096820000000003,,,0.007392365,,,,,,,,,,,,,,0.0818,0.0821,bj2018,,,cdwrf,17.2679,0.005786,14.1164,0.00278,1,,cdwrf,,cooldwarfs_v8,2.1220328825853403,1.9162192394281299,82.224366232539,-66.5876397193776,0.0521600426417242,0.0611903177841735,1,0
204,16280,278989053,101.797107,-58.307051,278989053,101.797104287046,-58.3070493683047,0.00779954710941021,20190415,,,159-008530,06471130-5818253,,J064711.34-581824.5,5.483596162274584e+18,27317534.0,,STAR,tmgaia2,tmgaia2,34.2478,0.039392,72.7029,0.041233,gaia2,6.7610399999999995,0.0201095,gaia2,268.026968946147,-23.369215059415804,128.84524944957099,-80.1396516801362,13.625,0.016,12.472999999999999,0.08,,,,,,,,,,,10.649000000000001,0.023,10.101,0.026000000000000002,10.002,0.025,AAA-222-111-000-0-0,,9.908999999999999,0.022000000000000002,9.974,0.02,9.908,0.032,9.579,0.445,12.2157,0.00021600000000000002,11.5519,0.006,rered,spect,4601.0,170.46200000000002,4.44846,0.12490799999999999,,,0.8442350000000001,0.0908716,0.73,0.08461089999999999,1.2132,0.443104,DWARF,0.28776,0.01935785,147.27700000000002,0.4395,0.041765199999999995,0.009822495,121,0.07317848,,,0.003905725,0.00877409,0.010870900000000001,schlegel,0.09582919999999999,0.0733926,0.0800643,0.10167899999999999,0.340859,0.545349,0.11358900000000001,0.136227,0.0161752,0.0225405,0.43799999999999994,0.441,bj2018,183.697,157.22799999999998,spect,12.8173,0.001602,11.5004,0.0008060000000000001,1,,ucac4,apassdr9,,0.6993963322532049,0.6394514887245311,101.79738495905899,-58.3067363422398,0.0187693280761148,0.020849388474694,1,0
205,5413,350559457,86.56384200000001,-55.797830000000005,350559457,86.5638458743524,-55.7978303808086,0.0079591437392058,20190415,,,172-006348,05461532-5547521,,J054615.36-554751.7,4.767439021687332e+18,,,STAR,tmgaia2,tmgaia2,31.0029,0.12200899999999999,44.9201,0.108221,gaia2,22.6732,0.0593851,gaia2,263.842807293509,-31.164684262866803,79.723248053294,-79.1144705374653,17.771,0.162,16.64,0.16,,,,,,,,,,,11.38,0.024,10.808,0.022000000000000002,10.479000000000001,0.019,AAA-222-111-000-0-0,,10.319,0.023,10.091000000000001,0.02,9.934,0.035,9.163,,14.6844,0.001381,13.2359,0.00841925,cdwrf,cdwrf,3044.0,157.0,4.94672,0.00831793,,,0.281542,0.00841451,0.255705,0.020144799999999997,11.458,0.12288199999999999,DWARF,0.0061313999999999995,0.001641805,44.0492,0.1161,,,80,0.0030701070000000003,,,0.00718254,,,,,,,,,,,,,,0.1158,0.1164,bj2018,,,cdwrf,16.6592,0.006751999999999999,13.3555,0.004651,1,,ucac4,bpbj,cooldwarfs_v8,2.1405634134083997,1.67844928755846,86.56408334316481,-55.797636975049706,0.0555572526907919,0.0586148688920926,1,0
207,8005,287438823,82.386454,-71.899284,287438823,82.3864517234642,-71.8992862071949,0.008343905962274691,20190415,,,091-009595,05293274-7153573,,J052932.73-715356.3,4.651692371806776e+18,,,STAR,tmgaia2,tmgaia2,-9.25199,0.0636167,106.63,0.08948049999999999,gaia2,17.9038,0.0398896,gaia2,282.855675915249,-32.0143417183687,293.305705417458,-84.0279712247395,17.971,0.162,15.922,0.13699999999999998,,,,,,,,,,,11.550999999999998,0.027000000000000003,10.948,0.028999999999999998,10.692,0.023,AAA-222-211-c00-0-0,,10.515,0.023,10.35,0.02,10.182,0.042,9.432,0.434,14.4043,0.001663,13.1282,0.00853252,cdwrf,cdwrf,3330.0,157.0,4.90911,0.00369222,,,0.315373,0.00952805,0.294231,0.0202534,9.38026,0.203546,DWARF,0.01101845,0.0027591359999999997,55.7644,0.12495,,,4381,0.09685468,,,0.006405481,,,,,,,,,,,,,,0.1247,0.1252,bj2018,,,cdwrf,15.8979,0.009963,13.2006,0.0048530000000000005,1,,ucac4,bpbj,cooldwarfs_v8,1.21851302470289,1.38781621565168,82.3863235082697,-71.89882710584651,0.0334030774573957,0.0490895833724237,1,0
208,5081,176957796,101.297297,-66.238034,176957796,101.297293119643,-66.2380357276682,0.00838846577853344,20190415,,8907-01291-1,119-011712,06451134-6614168,,J064511.37-661417.7,5.28498011125311e+18,32466129.0,,STAR,tmgaia2,tmgaia2,18.5283,0.048320800000000004,-67.5309,0.041348,gaia2,11.2217,0.025031099999999997,gaia2,276.478991823474,-25.2839914142073,181.11133638759202,-85.4717629725386,13.165999999999999,0.342,11.402000000000001,0.10300000000000001,,,,,,,,,,,9.761000000000001,0.024,9.245,0.022000000000000002,9.095,0.019,AAA-222-111-000-0-0,,9.024,0.023,9.076,0.02,9.035,0.024,9.237,0.33899999999999997,11.3764,0.001072,10.702,0.0061,gbprp,spect,4651.0,174.202,4.62869,0.122981,,,0.690721,0.07175880000000001,0.74,0.0949972,2.24556,0.83885,DWARF,0.2011339,0.01185401,88.8838,0.19925,,,156,0.2021819,,,0.008954693,,,,0.09500239999999999,0.094992,0.0501814,0.0933362,0.7381880000000001,0.9395120000000001,0.13276300000000002,0.113199,0.00854202,0.015165999999999999,0.1988,0.1997,bj2018,132.362,216.041,spect,12.0132,0.0007610000000000001,10.6616,0.000443,1,,tycho2v,tycho2b,,0.894608922055638,0.64136726407466,101.297491102118,-66.238326485837,0.0250918340086822,0.0246342889204086,1,0
209,7053,358403148,78.13463,-57.842614000000005,358403148,78.1346283414325,-57.84261174390701,0.008721540408388309,20190415,,,161-005298,05123231-5750334,,J051232.46-575032.2,4.763092892741256e+18,27244856.0,,STAR,tmgaia2,tmgaia2,120.47399999999999,0.0786753,119.073,0.07842289999999999,gaia2,20.0285,0.039172399999999996,gaia2,266.372861690813,-35.7435608485256,52.21071315244579,-79.711983100616,15.353,0.026000000000000002,13.940999999999999,0.10300000000000001,,,,,,,,,,,10.45,0.024,9.846,0.023,9.64,0.021,AAA-222-111-000-0-0,,9.513,0.022000000000000002,9.399,0.02,9.277999999999999,0.028999999999999998,9.156,0.349,12.9419,0.000714,11.8445,0.00743828,cdwrf,cdwrf,3596.0,157.0,4.806690000000001,0.00471116,,,0.42191899999999993,0.0125848,0.41598900000000005,0.0202945,5.538530000000001,0.225425,DWARF,0.02681832,0.006314765,49.857,0.0981,,,61,0.002676992,,,0.009214708,,,,,,,,,,,,,,0.0979,0.0983,bj2018,,,cdwrf,14.1088,0.002669,11.880999999999998,0.001913,1,,ucac4,apassdr9,cooldwarfs_v8,1.3937445276487401,1.21620549242534,78.1356029034257,-57.84209907222079,0.0382341199908947,0.0397739027008365,1,0
210,6968,299833067,60.223316000000004,-72.093048,299833067,60.2233149907624,-72.093045567662,0.00882738932192762,20190415,,9156-00057-1,090-010125,04005359-7205349,,J040053.70-720534.5,4.665739663612657e+18,33558581.0,,STAR,tmgaia2,tmgaia2,49.3349,0.034448,42.0837,0.034143099999999996,gaia2,7.90993,0.018904499999999998,gaia2,286.188998290877,-38.261129339648704,318.80475322188,-78.29178146499859,13.040999999999999,0.32,11.747,0.04,,,,,,,,,,,9.946,0.026000000000000002,9.497,0.022000000000000002,9.361,0.019,AAA-222-111-000-0-0,,9.306000000000001,0.023,9.373,0.02,9.312000000000001,0.027000000000000003,8.922,0.284,11.385,0.00038500000000000003,10.7794,0.006,rered,gaia2,4999.0,133.385,4.48342,0.08807539999999998,,,0.8646959999999999,0.0571683,0.83,0.09598430000000001,1.28377,0.328212,DWARF,0.42068249999999996,0.014725299999999998,125.963,0.3025,0.057232000000000005,0.01036006,80,0.008039827,,,0.006462954,0.00855453,0.0121656,schlegel,0.098856,0.0931125,0.0618533,0.052483400000000006,0.275279,0.381146,0.0733828,0.10276800000000001,0.014983400000000001,0.0144672,0.302,0.303,bj2018,149.826,116.943,dered,11.9139,0.001251,10.7304,0.000947,1,,tycho2v3,tycho2b3,,0.660636372624593,0.5295102751216421,60.224005831136,-72.09286437517221,0.0183982046294146,0.0175894006036189,1,0
215,22138,150142207,92.6757,-62.5258,150142207,92.6756991776343,-62.5257974821184,0.00916669886378355,20190415,,,138-007215,06104217-6231331,,J061042.09-623130.3,5.48102361859931e+18,29861835.0,,STAR,tmgaia2,tmgaia2,-45.6056,0.0765508,238.891,0.08283969999999999,gaia2,15.1264,0.0348171,gaia2,271.821186028795,-28.4996301796318,107.124109619666,-85.805320095537,17.759,0.16399999999999998,16.02,0.2,,,,,,,,,,,11.699000000000002,0.022000000000000002,11.130999999999998,0.023,10.863,0.021,AAA-222-111-000-0-0,,10.707,0.023,10.575999999999999,0.021,10.472000000000001,0.039,9.812999999999999,,14.5704,0.000396,13.3072,0.00728788,cdwrf,cdwrf,3340.0,157.0,4.884869999999999,0.00134081,,,0.338973,0.0101595,0.321461,0.0202407,8.2534,0.221844,DWARF,0.01288282,0.003212285,65.9836,0.1527,,,167,0.01075566,,,0.005030605,,,,,,,,,,,,,,0.1524,0.153,bj2018,,,cdwrf,16.0554,0.003425,13.3779,0.0010199999999999999,1,,cdwrf,bpbj,cooldwarfs_v8,1.38851008165565,1.28461548611476,92.675273561973,-62.5247689243157,0.0342203330265781,0.0392622990951656,1,0
220,2167,142144594,99.707306,-73.738417,142144594,99.7073082961003,-73.7384195559309,0.009488019603369641,20190415,,,082-009021,06384974-7344182,,J063849.87-734418.5,5.262273748731677e+18,33623324.0,,STAR,tmgaia2,tmgaia2,49.2041,0.0302185,-17.2497,0.0349452,gaia2,4.909330000000001,0.0165304,gaia2,284.670856744449,-26.8364537690673,249.84269975606603,-82.1246743019272,13.802999999999999,0.023,12.749,0.057,,,,,,,,,,,11.027999999999999,0.024,10.552,0.023,10.448,0.021,AAA-222-111-000-0-0,,10.411,0.023,10.482999999999999,0.02,10.375,0.047,9.381,,12.5137,0.000161,11.8933,0.006,rered,spect,4940.46,117.462,4.4714,0.0872971,0.475973,0.1,0.866118,0.0542638,0.81,0.09801939999999999,1.24668,0.319838,DWARF,0.4026411,0.0158342,202.50099999999998,0.6829999999999999,0.0705365,0.01035505,135,0.02161662,,,0.003020843,0.008576299999999999,0.0121338,schlegel,0.10581600000000001,0.0902228,0.0582382,0.0502894,0.259853,0.379822,0.10912000000000001,0.0654741,0.0170477,0.014620699999999999,0.68,0.6859999999999999,bj2018,96.2591,138.664,spect,13.0605,0.0013800000000000002,11.8464,0.000663,1,,ucac4,apassdr9,,0.5856658072173629,0.5419408519543111,99.7080648444894,-73.73849382681591,0.014812290125981,0.0177345576940666,1,0
226,18644,38709256,66.6656,-65.8113,38709256,66.665594933678,-65.81129826076611,0.00974945998159205,20190415,,,121-004037,04263973-6548408,,J042639.80-654839.0,4.674816235180364e+18,32426144.0,,STAR,tmgaia2,tmgaia2,34.8428,0.0893575,156.769,0.101546,gaia2,20.0144,0.0508479,gaia2,277.69427512237803,-39.145475800644796,353.786989898327,-80.604015663346,17.335,0.162,16.33,0.2,,,,,,,,,,,11.642999999999999,0.026000000000000002,11.055,0.023,10.789000000000001,0.024,AAA-222-111-000-0-0,,10.597999999999999,0.023,10.448,0.02,10.289000000000001,0.046,8.808,,14.6156,0.000362,13.2974,0.00729996,cdwrf,cdwrf,3252.0,157.0,4.95175,0.00863476,,,0.277296,0.00843434,0.250942,0.020215599999999997,11.7691,0.123858,DWARF,0.007747901,0.001979007,49.8923,0.1275,,,96,0.001293432,,,0.007000040999999999,,,,,,,,,,,,,,0.1272,0.1278,bj2018,,,cdwrf,16.2376,0.002625,13.3819,0.001129,1,,cdwrf,bpbj,cooldwarfs_v8,1.65037989798257,1.57470077151955,66.6659610596435,-65.8106232835639,0.04721564748251401,0.0481974527881922,1,0
