Name,Porb, Porb_sig_p, Porb_sig_m, a1sini/c, a1sini/c_sig_p, a1sini/c_sig_m, e, e_sig_p, e_sig_m, phip, phip_sig_p, phip_sig_m, varpi, varpi_sig_p, varpi_sig_m, f(M)Msun, f(M)Msun_sig_p, f(M)Msun_sig_m, gradient, grad_sig_p, grad_sig_m, t_p, t_p_sig_p, t_p_sig_m, K1_ms, K1_ms_sig_p, K1_ms_sig_m, median_segment_size
kic10727717,955.531671,7.229118,7.150347,147.013589,3.406514,3.2528,0.164272,0.044501,0.041718,0.66092,0.029247,0.033534,3.98831,0.174347,0.209704,0.0037365,0.0002657,0.0002544,0.003952,0.004984,0.00478,55589.922072,28.856463,32.839507,3309.0,65.0,61.2
kic10753246,2096.083691,746.653051,428.3109,286.060987,70.6683,47.698968,0.620518,0.118743,0.10418,0.430645,0.120304,0.127465,4.275772,0.222445,0.249165,0.0057206,0.0048415,0.0049798,-0.338233,0.085286,0.137771,55862.203841,639.314785,645.382666,2333.4,818.4,600.6
kic10802820,1183.812003,59.451618,43.467476,93.655778,6.824111,4.654182,0.246961,0.062717,0.067585,0.246758,0.025502,0.033175,1.003454,0.161505,0.194038,0.0006294,0.0001451,0.0001131,0.04646,0.017739,0.02442,55261.623212,59.661506,64.73369,1671.5,93.0,98.0
kic10855535,411.923943,0.380784,0.3722,143.465388,0.827729,0.850071,0.093263,0.011908,0.011645,0.406063,0.021121,0.02284,5.197626,0.131815,0.142432,0.0186849,0.0003252,0.0003339,-0.005738,0.00145,0.001408,55136.775462,8.708388,9.415873,7560.6,32.7,31.0
kic10862354,469.660114,1.586988,1.602017,270.307141,5.14147,5.237182,0.19258,0.039151,0.038643,0.662673,0.047335,0.036284,4.456964,0.298612,0.224979,0.0961364,0.0055249,0.0056256,-0.069256,0.008575,0.008188,55269.623037,22.288469,17.115582,12313.8,209.6,192.2
kic10936474,152.299068,0.584783,0.597184,119.764128,12.908617,10.059203,0.533147,0.172719,0.161666,0.545795,0.052926,0.04461,1.196401,0.373265,0.299952,0.0795186,0.02572,0.020046,0.006715,0.012424,0.011813,55041.51566,8.082216,6.819716,14505.6,2018.1,1729.0
kic10990452,122.058177,0.102626,0.10455,63.436234,2.970681,2.592042,0.590285,0.045172,0.045258,0.022123,0.010955,0.012325,5.807973,0.071367,0.076187,0.0183976,0.0025848,0.0022554,0.000174,0.00189,0.001904,54961.091903,1.341154,1.507929,9146.9,446.2,451.6
kic11044384,1763.562918,107.506455,191.523769,364.729776,25.596752,44.389718,0.332505,0.016541,0.018975,0.560961,0.104575,0.039556,4.372987,0.33534,0.08713,0.01675,0.0050668,0.0064477,-0.515867,0.109823,0.059727,55947.681628,237.417773,164.988351,4252.7,421.0,350.0
kic11285767,724.106024,1.479672,1.486077,204.701279,1.195492,1.153689,0.280801,0.011678,0.011571,0.504441,0.008532,0.007646,1.061481,0.052265,0.046112,0.0175647,0.0003161,0.0003055,0.013545,0.002305,0.002276,55328.800327,6.353542,5.731659,5915.7,34.6,34.6
kic11294931,1472.213075,26.440504,24.310872,357.760955,3.639545,3.511487,0.178768,0.020272,0.020636,0.621187,0.020179,0.018772,5.379057,0.081065,0.075454,0.022684,0.0010201,0.0010536,-0.00234,0.005884,0.006211,55872.911633,39.07017,37.519265,5213.1,76.5,72.5
kic11295729,1187.816915,23.242361,19.671411,192.506876,4.846391,4.732385,0.308625,0.035769,0.035487,0.898815,0.024815,0.032093,2.059373,0.109269,0.159966,0.005429,0.0004477,0.0004533,0.022063,0.016576,0.014268,56026.01965,36.45838,43.744471,3361.1,92.1,85.8
kic11415556,145.014343,0.298931,0.300687,122.269734,10.030902,8.168951,0.575206,0.071827,0.074505,0.285083,0.015844,0.016024,2.971289,0.098252,0.115161,0.0933292,0.0229732,0.0187102,0.002721,0.006368,0.006328,54999.732724,2.317085,2.342971,15038.0,1176.3,1211.5
kic11495305,855.568736,3.6632,3.252447,237.993626,3.021069,2.942275,0.020686,0.019746,0.013411,0.432677,0.296195,0.189008,1.814601,1.856272,1.17919,0.0197728,0.0007678,0.0007526,0.002188,0.00562,0.004907,55339.693474,253.438771,161.746301,6063.8,52.0,49.9
kic11508397,722.307593,18.02558,18.194191,83.1516,9.5406,8.055413,0.384158,0.16617,0.1613,0.739292,0.072935,0.081658,4.003909,0.438563,0.489696,0.0011832,0.0004116,0.0003489,0.017344,0.012013,0.012335,55497.527345,55.70735,61.699814,2317.4,269.8,235.9
kic11509728,199.086456,0.711193,0.722552,35.374773,1.739118,1.725143,0.079684,0.078636,0.050972,0.043227,0.260104,0.190616,1.946506,1.63577,1.180026,0.0011992,0.0001771,0.0001757,0.004606,0.002832,0.002775,54966.99776,51.788145,37.955834,3861.8,137.2,114.1
kic11569628,684.354534,4.769915,4.407411,183.925304,4.041192,4.196177,0.037333,0.034322,0.023995,0.336797,0.31577,0.236624,5.978355,1.989294,1.4899,0.0142641,0.000958,0.0009963,-0.007616,0.008019,0.008001,55199.996464,216.147344,161.999708,5855.7,94.4,83.6
kic11661993,577.133011,8.543512,7.867976,54.357654,2.77921,2.814091,0.263757,0.0974,0.109073,0.951705,0.070305,0.09969,4.57361,0.459779,0.57403,0.0005177,8.07e-05,8.19e-05,0.014502,0.004966,0.004968,55507.652282,41.396765,58.116609,1980.9,104.8,91.3
kic11754974,343.241764,0.500622,0.497353,131.137792,1.17293,1.182273,0.018982,0.017421,0.011861,0.451625,0.132112,0.276224,0.737616,0.844385,1.757241,0.0205526,0.0005547,0.0005591,-0.009368,0.002241,0.002392,55113.408772,45.349101,94.812926,8328.6,48.6,46.0
kic11771670,559.096032,1.432529,1.418383,134.9947,1.326124,1.412072,0.103242,0.021096,0.020251,0.121572,0.048274,0.034796,5.072711,0.308258,0.219844,0.0084501,0.0002527,0.0002687,0.01595,0.002434,0.002475,55026.362083,27.027418,19.506459,5236.3,42.2,38.2
kic11858293,505.783046,0.634717,0.644842,156.361169,1.084284,1.121706,0.028819,0.013002,0.012909,0.638672,0.029403,0.056356,2.32482,0.182568,0.355776,0.016045,0.0003363,0.0003477,0.001165,0.001792,0.001844,55281.42159,14.885294,28.511088,6737.7,31.7,29.8
kic11874676,1611.803234,61.669233,41.615766,540.9427,19.809784,15.536997,0.775466,0.02037,0.018526,0.377851,0.010765,0.014196,3.878908,0.025425,0.02461,0.0654203,0.0079416,0.007539,-0.145927,0.012018,0.014536,55567.413064,54.479419,56.484468,4620.2,242.2,225.9
kic11905761,225.417864,0.377951,0.384839,167.285505,14.664475,11.539166,0.729472,0.046541,0.046758,0.089301,0.007066,0.007694,3.090544,0.042833,0.042004,0.0989193,0.0260164,0.0204727,0.014389,0.005111,0.005085,54978.522251,1.637829,1.775805,11067.7,939.2,992.7
kic12020590,432.397659,0.707214,0.711943,154.55762,1.990364,1.93413,0.527903,0.017748,0.017667,0.223268,0.006001,0.005849,5.354382,0.034027,0.035782,0.0212025,0.0008221,0.000799,-0.009786,0.003145,0.003023,55054.932231,2.69009,2.62675,6619.0,100.8,99.8
kic12055345,1332.514592,40.966868,41.243302,589.260112,27.563975,27.226742,0.120654,0.037344,0.03348,0.101399,0.020787,0.01741,0.569052,0.114089,0.066285,0.1237257,0.0189769,0.0187618,-0.596562,0.090531,0.08814,55093.507797,49.566738,47.199844,9571.4,374.7,350.9
kic12069252,1498.665475,111.987641,98.978769,186.570983,13.86289,11.374339,0.392316,0.040229,0.04156,0.427077,0.019923,0.023689,5.477264,0.130927,0.154256,0.0031046,0.0008044,0.0007333,0.18765,0.035985,0.032528,55598.437235,109.627558,111.297307,2496.7,180.6,179.7
kic12120077,1638.964961,38.352453,36.086913,349.582849,6.469028,6.092089,0.10506,0.024584,0.024351,0.868483,0.025079,0.02036,4.194703,0.088629,0.083036,0.0170763,0.00121,0.0011982,-0.000569,0.007019,0.007661,56381.804826,55.450978,49.988166,4624.8,91.5,88.3
kic12122075,271.192621,2.093362,2.075915,52.616964,4.091593,4.039324,0.157989,0.130624,0.094966,0.050141,0.116688,0.136088,5.712151,0.732174,0.829401,0.0021267,0.0004972,0.0004909,0.000954,0.006546,0.00662,54971.989439,31.713514,36.96489,4177.2,274.6,209.3
kic12217281,725.720401,12.796792,12.395765,193.827011,13.997544,12.577498,0.243803,0.14671,0.112041,0.453834,0.059609,0.110419,3.584931,0.37182,0.765631,0.0148452,0.003256,0.002937,-0.009118,0.021787,0.015451,55292.887442,45.056051,81.117294,5647.6,401.5,320.4
kic12365420,330.522262,0.794197,0.780288,106.246065,2.092393,2.137426,0.216673,0.035808,0.035446,0.820521,0.020827,0.029872,5.903872,0.121402,0.188653,0.0117874,0.0006986,0.0007137,-0.000758,0.003292,0.00321,55229.592097,6.928656,9.904696,6842.2,118.7,109.4
kic12470709,1453.403236,22.872915,22.609321,359.51482,5.437904,5.007871,0.269063,0.024348,0.02302,0.067397,0.008176,0.009191,2.587747,0.063277,0.047343,0.023619,0.0012995,0.0012356,0.239113,0.016128,0.014903,55067.462848,25.658619,26.374244,5194.4,90.2,89.6
kic12602250,586.083547,0.545182,0.546646,266.201077,1.320054,1.378454,0.415964,0.006938,0.006857,0.68031,0.002435,0.002815,2.789325,0.015488,0.015928,0.0589648,0.0008841,0.0009225,0.005916,0.001651,0.001677,55357.110438,1.527964,1.737799,9005.8,47.1,45.3
kic1294670,410.067698,0.522355,0.538577,350.825282,4.282664,4.190681,0.399538,0.018966,0.018636,0.539248,0.006337,0.006862,3.73387,0.039779,0.0393,0.2757048,0.0101229,0.009905,-0.009452,0.005407,0.005334,55179.520696,2.65219,2.863449,17100.0,214.2,209.9
kic1724961,74.338842,0.043061,0.042114,100.129009,2.180575,2.107265,0.180452,0.037256,0.039649,0.923383,0.041551,0.03682,3.162437,0.263074,0.228337,0.1950432,0.0127447,0.0123164,0.015825,0.003511,0.003437,55023.674163,3.089147,2.737487,28885.5,487.4,470.6
kic2168333,349.750966,0.450468,0.447187,260.934572,6.429762,6.356894,0.710001,0.019476,0.020185,0.310054,0.004589,0.004552,2.45339,0.029453,0.027269,0.1559408,0.0115346,0.0114042,0.024423,0.003371,0.003455,55066.834036,1.666582,1.654123,11455.0,352.9,352.4
kic2283124,1528.559071,129.979337,84.7331,372.943256,42.322023,29.171224,0.04456,0.0546,0.030269,0.45203,0.059578,0.061121,2.333601,0.391974,0.35171,0.0238367,0.0085345,0.006908,-0.506512,0.080832,0.108818,55660.463807,140.779359,142.316454,5314.4,414.7,397.8
kic2570760,1548.917482,47.301245,47.011538,286.964426,6.118975,6.334482,0.42833,0.028515,0.027905,0.539517,0.018482,0.017131,5.453386,0.043115,0.048052,0.0105757,0.0009326,0.0009527,0.182442,0.011459,0.013567,55794.059863,55.16553,54.109197,3650.2,117.2,113.4
kic2579147,1576.001116,55.15574,41.705114,122.474504,7.827395,5.800183,0.003671,0.004715,0.002527,0.639136,0.025505,0.023377,1.567499,0.112784,0.081887,0.0007942,0.000158,0.0001258,0.172332,0.019507,0.014629,55976.787879,62.938202,60.851067,1694.4,65.2,70.3
kic2714707,540.329212,2.343164,2.385817,173.440924,3.633359,3.614782,0.103729,0.048095,0.046814,0.67045,0.05968,0.049982,5.449193,0.348534,0.307804,0.0191876,0.0012177,0.0012112,-0.017982,0.006331,0.00634,55323.30243,32.333419,27.110045,6961.0,116.5,104.9
kic2974815,1068.572613,6.41809,6.393924,262.925391,3.028054,3.010224,0.141536,0.021682,0.021228,0.450092,0.018475,0.025388,3.908198,0.120558,0.165688,0.0170912,0.0006249,0.0006219,-0.009348,0.005752,0.005696,55450.465115,20.755209,27.874994,5310.8,53.9,51.9
kic2988145,793.032091,1.432069,1.458519,462.800184,3.123314,3.068949,0.315087,0.010572,0.010322,0.790541,0.007255,0.007182,6.273064,0.038164,0.042592,0.1692317,0.0034824,0.0034217,-0.002825,0.004556,0.004519,55585.316862,5.932203,5.876073,12076.0,77.5,76.7
kic2994888,1119.80291,12.577436,11.173157,225.039296,3.280814,3.160695,0.160253,0.026178,0.027703,0.169845,0.018813,0.019279,2.91633,0.114238,0.121426,0.0097583,0.0004691,0.000466,-0.047782,0.012405,0.010901,55159.701715,24.183361,24.639273,4325.1,60.9,58.5
