55776.4832792,-62.01,0.11
55779.5663084,-37.64,0.12
55784.5535207,4.25,0.11
55792.5910891,-60.10,0.11
56420.7034988,-61.46,0.11
56428.5941338,6.79,0.13
56432.6347073,-52.79,0.11
56435.7043529,-62.02,0.11
56457.6815417,68.27,0.25
56462.4939552,-47.44,0.08
56465.7105822,-61.07,0.12
56467.4895272,-58.81,0.13
56468.5260058,-54.10,0.11
56469.6699753,-38.31,0.08
56471.5206016,31.04,0.14
56473.4875121,49.49,0.16
56474.5191181,10.01,0.15
56476.4823192,-29.44,0.52
56482.5515499,-60.55,0.11
56870.470792,44.74,0.17
56871.4970389,75.00,0.15
56872.4257027,40.71,0.14
56931.4389858,21.71,0.16
56932.3756473,71.331,0.15
